,Institute ID,Name,City,State,Score,Rank,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),Year
0,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,88.37,87.3,85.76,65.68,100.0,2024
1,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,83.6,86.5,82.17,58.46,99.7,2024
2,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,83.85,82.35,83.36,59.05,89.32,2024
3,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,76.57,86.23,77.48,66.23,93.48,2024
4,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,89.84,69.09,81.96,60.83,74.12,2024
5,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,76.65,74.94,80.18,57.29,75.24,2024
6,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,79.09,71.26,68.66,71.29,82.97,2024
7,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,76.55,70.48,79.14,62.91,52.89,2024
8,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,76.33,64.43,81.35,61.96,43.43,2024
9,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,74.93,45.27,97.34,72.28,57.71,2024
10,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,73.59,51.01,94.94,61.57,50.25,2024
11,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,78.96,56.59,73.33,59.21,54.34,2024
12,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,71.29,49.28,92.72,83.1,29.78,2024
13,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,78.11,55.94,77.34,67.33,25.34,2024
14,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,56.75,56.42,98.54,67.57,43.93,2024
15,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,74.02,45.91,93.81,61.15,33.15,2024
16,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,68.83,51.35,89.92,49.94,48.2,2024
17,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,76.51,47.82,77.63,73.83,36.07,2024
18,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,61.51,61.95,79.42,61.11,39.35,2024
19,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,60.32,63.51,71.58,48.93,64.13,2024
20,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,71.69,55.43,76.92,68.55,17.02,2024
21,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,72.59,60.87,72.82,66.07,5.79,2024
22,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,66.06,57.83,75.19,58.49,28.11,2024
23,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,74.09,42.19,74.06,72.74,37.65,2024
24,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,72.69,45.58,81.39,62.26,25.6,2024
25,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,70.01,42.11,92.19,50.17,31.61,2024
26,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,76.29,52.45,76.95,53.84,7.42,2024
27,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,74.74,42.01,79.53,76.35,13.72,2024
28,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,76.4,41.53,69.97,69.21,24.82,2024
29,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,57.16,54.95,76.25,57.97,40.09,2024
30,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,57.74,48.14,74.21,64.62,55.37,2024
31,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,68.5,39.66,78.18,77.52,24.56,2024
32,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,65.54,50.91,71.78,60.73,19.49,2024
33,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,63.94,50.54,75.22,59.6,17.02,2024
34,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,59.69,55.05,71.72,59.2,22.93,2024
35,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,76.68,32.12,69.66,76.95,15.07,2024
36,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,61.07,39.17,89.65,52.59,24.29,2024
37,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,74.52,26.72,94.82,58.19,4.52,2024
38,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,72.86,33.47,71.01,70.11,24.02,2024
39,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,67.87,41.54,71.78,66.48,16.38,2024
40,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,75.44,26.05,85.19,64.68,10.13,2024
41,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,72.8,41.09,61.53,62.28,21.53,2024
42,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,65.0,43.36,71.19,63.83,17.02,2024
43,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,64.04,42.45,78.16,54.05,18.27,2024
44,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,57.1,49.75,66.63,69.81,22.1,2024
45,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,55.75,43.41,74.39,62.79,35.25,2024
46,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,69.41,37.64,71.47,66.23,11.24,2024
47,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,68.81,39.95,67.5,65.22,14.74,2024
48,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,56.77,50.31,71.92,65.59,9.75,2024
49,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,69.75,32.36,74.56,74.3,10.5,2024
50,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,71.68,35.53,73.76,56.1,14.74,2024
51,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,72.53,27.49,78.53,64.79,17.34,2024
52,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,61.76,42.22,72.75,57.84,22.1,2024
53,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,66.21,32.44,72.82,68.16,26.88,2024
54,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,65.13,39.14,79.78,53.33,8.99,2024
55,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,55.91,45.68,75.08,55.39,23.48,2024
56,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,71.82,24.11,88.28,60.98,7.42,2024
57,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,69.31,25.46,80.94,78.63,7.82,2024
58,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,64.11,41.19,60.62,65.76,27.62,2024
59,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,54.31,42.01,74.07,63.38,29.55,2024
60,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,68.89,39.53,66.79,54.52,15.73,2024
61,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,68.66,34.45,70.2,66.17,12.32,2024
62,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,74.46,26.12,63.1,61.74,37.45,2024
63,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,67.38,32.89,70.81,66.14,17.34,2024
64,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,69.31,38.5,65.47,53.22,18.27,2024
65,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,63.18,37.87,67.5,56.65,29.07,2024
66,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,71.36,37.27,70.97,51.09,4.09,2024
67,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,71.5,34.91,63.56,67.12,8.99,2024
68,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,71.14,31.25,79.72,51.14,3.66,2024
69,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,64.75,28.77,85.33,58.05,10.87,2024
70,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,71.49,38.33,61.26,64.14,1.41,2024
71,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,65.48,38.39,61.96,70.37,10.87,2024
72,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,60.25,42.04,70.12,54.1,11.24,2024
73,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,74.07,35.35,50.68,69.13,13.37,2024
74,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,68.05,32.99,67.59,45.27,27.37,2024
75,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,65.88,35.3,73.76,51.91,7.82,2024
76,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,62.96,37.25,68.6,55.82,16.7,2024
77,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,69.14,31.99,65.96,67.87,6.2,2024
78,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,59.9,33.86,62.93,66.08,32.5,2024
79,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,74.19,32.43,64.12,49.58,7.82,2024
80,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,61.3,39.4,67.32,57.14,10.5,2024
81,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,58.02,42.66,69.7,52.47,10.13,2024
82,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,72.7,33.93,56.36,60.62,6.2,2024
83,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,74.0,24.83,64.38,65.17,5.37,2024
84,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,59.05,36.3,63.32,70.64,11.96,2024
85,IR-O-U-0456,Indian Institute of Technology MadrasMore Details | |,Chennai,Tamil Nadu,86.42,1,70.8,19.35,79.51,57.96,7.02,2024
